Ball,Bowler,Batsman,Runs,Status,Remarks
19.6,Unadkat,Tamim,1,1 run, 
19.5,Unadkat,Liton Das,0,no run, 
19.4,Unadkat,Liton Das,1,wide,Extra Run
19.3,Unadkat,Liton Das,1,1 run, 
19.2,Unadkat,Tamim,1,1 run, 
19.1,Unadkat,Liton Das,1,1 run, 
19.1,Unadkat,Tamim,4,FOUR, 
18.6,Washington Sundar,Liton Das,1,1 run, 
18.5,Washington Sundar,Tamim,0,no run, 
18.4,Washington Sundar,Tamim,0,no run, 
18.3,Washington Sundar,Tamim,2,2 runs, 
18.2,Washington Sundar,Tamim,1,1 run, 
18.1,Washington Sundar,Liton Das,0,no run, 
17.6,Unadkat,Tamim,3,3 runs, 
17.5,Unadkat,Liton Das,6,SIX, 
17.4,Unadkat,Liton Das,1,1 run, 
17.3,Unadkat,Tamim,1,1 run, 
17.2,Unadkat,Liton Das,1,1 run, 
17.1,Unadkat,Tamim,1,1 run, 
16.6,Washington Sundar,Tamim,1,1 run, 
16.5,Washington Sundar,Liton Das,0,out,OUT
16.4,Washington Sundar,Sabbir Rahman,0,no run, 
16.3,Washington Sundar,Sabbir Rahman,0,no run, 
16.2,Washington Sundar,Sabbir Rahman,0,no run, 
16.1,Washington Sundar,Sabbir Rahman,0,no run, 
15.6,Chahal,Tamim,0,no run, 
15.5,Chahal,Tamim,0,out,OUT
15.4,Chahal,Soumya Sarkar,1,1 run, 
15.3,Chahal,Sabbir Rahman,4,FOUR, 
15.2,Chahal,Sabbir Rahman, ,1 run,legbyes
15.1,Chahal,Soumya Sarkar,0,out,OUT
14.6,SN Thakur,Sabbir Rahman,1,1 run, 
14.5,SN Thakur,Rahim, ,1 run,legbyes
14.4,SN Thakur,Sabbir Rahman,0,no run, 
14.3,SN Thakur,Sabbir Rahman,4,FOUR, 
14.2,SN Thakur,Sabbir Rahman,0,no run, 
14.1,SN Thakur,Sabbir Rahman,1,wide,Extra Run
13.6,SN Thakur,Sabbir Rahman,0,no run, 
13.5,Chahal,Rahim,1,1 run, 
13.4,Chahal,Sabbir Rahman,0,no run, 
13.3,Chahal,Sabbir Rahman,1,1 run, 
13.2,Chahal,Rahim,1,1 run, 
13.1,Chahal,Sabbir Rahman,1,1 run, 
12.6,Chahal,Rahim,1,1 run, 
12.5,Vijay Shankar,Rahim,1,1 run, 
12.4,Vijay Shankar,Sabbir Rahman,6,SIX, 
12.3,Vijay Shankar,Sabbir Rahman,4,FOUR, 
12.2,Vijay Shankar,Sabbir Rahman,1,1 run, 
12.1,Vijay Shankar,Rahim,1,1 run, 
11.6,Vijay Shankar,Sabbir Rahman,1,1 run, 
11.5,Chahal,Sabbir Rahman,1,1 run, 
11.4,Chahal,Rahim,1,1 run, 
11.3,Chahal,Sabbir Rahman,0,no run, 
11.2,Chahal,Sabbir Rahman,0,no run, 
11.1,Chahal,Sabbir Rahman,1,1 run, 
10.6,Chahal,Rahim,1,1 run, 
10.5,Washington Sundar,Rahim,1,1 run, 
10.4,Washington Sundar,Sabbir Rahman,2,2 runs, 
10.3,Washington Sundar,Sabbir Rahman,1,1 run, 
10.2,Washington Sundar,Rahim,0,no run, 
10.1,Washington Sundar,Rahim,1,1 run, 
9.6,Washington Sundar,Sabbir Rahman,0,no run, 
9.5,Chahal,Rahim,0,out,OUT
9.4,Chahal,Sabbir Rahman,1,1 run, 
9.3,Chahal,Mahmudullah,1,1 run, 
9.2,Chahal,Sabbir Rahman,1,1 run, 
9.1,Chahal,Mahmudullah,0,no run, 
8.6,Chahal,Mahmudullah,1,1 run, 
8.6,Vijay Shankar,Mahmudullah,2,2 runs, 
8.5,Vijay Shankar,Mahmudullah,2,2 runs, 
8.4,Vijay Shankar,Mahmudullah,1,wide,Extra Run
8.3,Vijay Shankar,Mahmudullah,2,2 runs, 
8.2,Vijay Shankar,Mahmudullah,1,1 run, 
8.1,Vijay Shankar,Sabbir Rahman,1,1 run, 
7.6,Vijay Shankar,Mahmudullah,1,1 run, 
7.5,Unadkat,Mahmudullah,1,1 run, 
7.4,Unadkat,Sabbir Rahman,1,1 run, 
7.3,Unadkat,Mahmudullah,0,no run, 
7.2,Unadkat,Mahmudullah,4,FOUR, 
7.1,Unadkat,Mahmudullah,1,1 run, 
6.6,Unadkat,Sabbir Rahman,1,1 run, 
6.5,SN Thakur,Sabbir Rahman,4,FOUR, 
6.4,SN Thakur,Sabbir Rahman,4,FOUR, 
6.3,SN Thakur,Sabbir Rahman,0,no run, 
6.2,SN Thakur,Sabbir Rahman,1,1 run, 
6.1,SN Thakur,Mahmudullah,0,no run, 
5.6,SN Thakur,Mahmudullah,1,1 run, 
5.5,Vijay Shankar,Mahmudullah,4,FOUR, 
5.4,Vijay Shankar,Mahmudullah,0,out,OUT
5.3,Vijay Shankar,Sabbir Rahman,1,1 run, 
5.2,Vijay Shankar,Shakib,4,FOUR, 
5.1,Vijay Shankar,Shakib,0,no run, 
4.6,Vijay Shankar,Shakib,1,1 run, 
4.5,Washington Sundar,Shakib,1,1 run, 
4.4,Washington Sundar,Sabbir Rahman,6,SIX, 
4.3,Washington Sundar,Sabbir Rahman,1,1 run, 
4.2,Washington Sundar,Shakib,0,no run, 
4.1,Washington Sundar,Shakib,1,1 run, 
3.6,Washington Sundar,Sabbir Rahman,1,1 run, 
3.5,Vijay Shankar,Sabbir Rahman,6,SIX, 
3.4,Vijay Shankar,Sabbir Rahman,0,no run, 
3.3,Vijay Shankar,Sabbir Rahman,6,SIX, 
3.2,Vijay Shankar,Sabbir Rahman,1,1 run, 
3.1,Vijay Shankar,Shakib,0,out,OUT
2.6,Vijay Shankar,Sabbir Rahman,1,1 run, 
2.5,SN Thakur,Sabbir Rahman,1,1 run, 
2.4,SN Thakur,Mehidy Hasan,1,1 run, 
2.3,SN Thakur,Sabbir Rahman,0,no run, 
2.2,SN Thakur,Sabbir Rahman,4,FOUR, 
2.1,SN Thakur,Sabbir Rahman,4,FOUR, 
1.6,SN Thakur,Sabbir Rahman,1,1 run, 
1.5,Unadkat,Sabbir Rahman,2,2 runs, 
1.4,Unadkat,Sabbir Rahman,0,out,OUT
1.3,Unadkat,Rubel,1,wide,Extra Run
1.2,Unadkat,Rubel,0,out,OUT
1.1,Unadkat,Mustafizur,0,no run, 
0.6,Unadkat,Mustafizur,0,no run, 
0.5,Unadkat,Mustafizur,0,no run, 
0.4,SN Thakur,Mehidy Hasan,4,FOUR, 
0.3,SN Thakur,Mehidy Hasan,6,SIX, 
0.2,SN Thakur,Mehidy Hasan,0,no run, 
0.1,SN Thakur,Mehidy Hasan,4,FOUR, 
19.6,SN Thakur,Mehidy Hasan,2,2 runs, 
19.5,SN Thakur,Mehidy Hasan,2,2 runs, 
19.4,Shakib,Dhawan,1,1 run, 
19.3,Shakib,Rohit,0,no run, 
19.2,Shakib,Rohit,4,FOUR, 
19.1,Shakib,Rohit,1,1 run, 
18.6,Shakib,Dhawan,1,1 run, 
18.5,Shakib,Rohit,0,no run, 
18.4,Mehidy Hasan,Dhawan,0,no run, 
18.3,Mehidy Hasan,Dhawan,1,1 run, 
18.3,Mehidy Hasan,Rohit,6,SIX, 
18.2,Mehidy Hasan,Rohit,4,FOUR, 
18.1,Mehidy Hasan,Rohit,6,SIX, 
17.6,Mehidy Hasan,Rohit,0,no run, 
17.5,Shakib,Dhawan,6,SIX, 
17.4,Shakib,Dhawan,1,1 run, 
17.3,Shakib,Rohit,1,1 run, 
17.2,Shakib,Dhawan,0,out,OUT
17.1,Shakib,Rohit,0,no run, 
16.6,Shakib,Rohit,0,no run, 
16.5,Rubel,Raina,0,no run, 
16.4,Rubel,Raina,0,no run, 
16.3,Rubel,Raina,0,out,OUT
16.2,Rubel,Rahul,0,no run, 
16.1,Rubel,Rahul,4,FOUR, 
15.6,Rubel,Rahul,1,1 run, 
15.5,Nazmul Islam,Rahul,1,1 run, 
15.4,Nazmul Islam,Rohit,0,no run, 
15.3,Nazmul Islam,Rohit,4,FOUR, 
15.2,Nazmul Islam,Rohit,6,SIX, 
15.1,Nazmul Islam,Rohit,0,no run, 
14.6,Nazmul Islam,Rohit,0,no run, 
14.5,Mustafizur,Rahul,1,1 run, 
14.4,Mustafizur,Rohit,4,FOUR, 
14.3,Mustafizur,Rohit,0,no run, 
14.2,Mustafizur,Rohit,2,2 runs, 
14.1,Mustafizur,Rohit,0,no run, 
13.6,Mustafizur,Rohit,1,1 run, 
13.5,Shakib,Rohit,1,1 run, 
13.4,Shakib,Rahul,6,SIX, 
13.3,Shakib,Rahul,1,1 run, 
13.2,Shakib,Rohit,2,2 runs, 
13.1,Shakib,Rohit,0,no run, 
12.6,Shakib,Rohit,1,1 run, 
12.5,Rubel,Rohit,0,no run, 
12.4,Rubel,Rohit,1,1 run, 
12.3,Rubel,Rahul,2,2 runs, 
12.2,Rubel,Rahul,1,1 run, 
12.1,Rubel,Rohit,0,no run, 
11.6,Rubel,Rohit,1,1 run, 
11.5,Nazmul Islam,Rohit,0,no run, 
11.4,Nazmul Islam,Rohit,1,1 run, 
11.3,Nazmul Islam,Rahul,1,1 run, 
11.3,Nazmul Islam,Rohit,1,1 run, 
11.2,Nazmul Islam,Rahul,4,FOUR, 
11.1,Nazmul Islam,Rahul,1,wide,Extra Run
10.6,Nazmul Islam,Rahul,1,1 run, 
10.5,Rubel,Rahul,1,1 run, 
10.4,Rubel,Rohit,1,1 run, 
10.3,Rubel,Rahul,0,out,OUT
10.2,Rubel,Manish Pandey,0,no run, 
10.1,Rubel,Manish Pandey,0,no run, 
9.6,Rubel,Manish Pandey,1,1 run, 
9.5,Shakib,Manish Pandey,1,1 run, 
9.4,Shakib,Rohit,1,1 run, 
9.3,Shakib,Manish Pandey,0,no run, 
9.2,Shakib,Manish Pandey,0,no run, 
9.1,Shakib,Manish Pandey,0,no run, 
8.6,Shakib,Manish Pandey,0,no run, 
8.5,Nazmul Islam,Rohit,1,1 run, 
8.4,Nazmul Islam,Manish Pandey,1,1 run, 
8.3,Nazmul Islam,Rohit,1,1 run, 
8.2,Nazmul Islam,Manish Pandey,1,1 run, 
8.1,Nazmul Islam,Rohit,0,no run, 
7.6,Nazmul Islam,Rohit,1,1 run, 
7.5,Mustafizur,Rohit,2,2 runs, 
7.4,Mustafizur,Rohit,1,1 run, 
7.3,Mustafizur,Manish Pandey,1,1 run, 
7.2,Mustafizur,Rohit,1,1 run, 
7.1,Mustafizur,Manish Pandey,0,no run, 
6.6,Mustafizur,Manish Pandey,1,1 run, 
6.5,Nazmul Islam,Manish Pandey,1,1 run, 
6.4,Nazmul Islam,Rohit,0,out,OUT
6.3,Nazmul Islam,Vijay Shankar,1,1 run, 
6.2,Nazmul Islam,Manish Pandey,1,1 run, 
6.1,Nazmul Islam,Vijay Shankar,4,FOUR, 
5.6,Nazmul Islam,Vijay Shankar,0,no run, 
5.6,Soumya Sarkar,Manish Pandey,1,1 run, 
5.5,Soumya Sarkar,Vijay Shankar,1,1 run, 
5.4,Soumya Sarkar,Manish Pandey,4,FOUR, 
5.3,Soumya Sarkar,Manish Pandey,4,FOUR, 
5.2,Soumya Sarkar,Manish Pandey,1,1 run, 
5.1,Soumya Sarkar,Vijay Shankar,0,no run, 
4.6,Mustafizur,Manish Pandey,2,2 runs, 
4.5,Mustafizur,Manish Pandey,1,1 run, 
4.4,Mustafizur,Vijay Shankar,0,no run, 
4.3,Mustafizur,Vijay Shankar, ,1 run,legbyes
4.2,Mustafizur,Manish Pandey,4,FOUR, 
4.1,Mustafizur,Manish Pandey,0,no run, 
3.6,Soumya Sarkar,Vijay Shankar,1,1 run, 
3.5,Soumya Sarkar,Manish Pandey,2,2 runs, 
3.4,Soumya Sarkar,Manish Pandey,1,1 run, 
3.3,Soumya Sarkar,Vijay Shankar,4,FOUR, 
3.2,Soumya Sarkar,Vijay Shankar,1,1 run, 
3.1,Soumya Sarkar,Manish Pandey,0,no run, 
2.6,Mustafizur,Vijay Shankar,0,no run, 
2.5,Mustafizur,Vijay Shankar,0,no run, 
2.4,Mustafizur,Vijay Shankar,0,no run, 
2.3,Mustafizur,Vijay Shankar,0,no run, 
2.2,Mustafizur,Vijay Shankar, ,1 run,legbyes
2.1,Mustafizur,Manish Pandey,0,out,OUT
1.6,Rubel,Karthik,6,SIX, 
1.5,Rubel,Karthik,4,FOUR, 
1.4,Rubel,Karthik,6,SIX, 
1.3,Rubel,Karthik,0,no run, 
1.2,Rubel,Karthik,2,2 runs, 
1.1,Rubel,Karthik,4,FOUR, 
0.6,Soumya Sarkar,Vijay Shankar,1,wide,Extra Run
0.5,Soumya Sarkar,Vijay Shankar,0,no run, 
0.4,Soumya Sarkar,Vijay Shankar,1,1 run, 
0.3,Soumya Sarkar,Karthik,1,1 run, 
0.3,Soumya Sarkar,Vijay Shankar,4,FOUR, 
0.2,Soumya Sarkar,Vijay Shankar,0,out,OUT
0.1,Soumya Sarkar,Karthik,6,SIX, 
